id_caso,código_dane_de_municipio,municipio,departamento,año,mes,día,id_persona,sexo,etnia,ocupación,caletera,campanera,cocinera,comandante,combatiente,contabilidad,entrenamiento,escolta,extorsiones,fabricación_de_otras_armas_no_convencionales,fabricación_y/o_siembra_de_minas_antipersonal,guardia,informante,patrullera,radio_operaciones,raspachín,servicios_de_salud,sicariato,trabajo_organizativo,tráfico_de_estupefacientes,transporte_de_armas,sin_información_de_oficios_realizados,otro_oficio_realizado,edad,latitud,longitud,fecha
152888,05585,PUERTO NARE,ANTIOQUIA,2004,4,0,178464,HOMBRE,,ESTUDIANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),6.2194810893,-74.5716887665,2004-04-01
225057,68689,SAN VICENTE DE CHUCURI,SANTANDER,1988,0,0,762817,HOMBRE,,GUERRILLERO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADOLESCENCIA (12-17 AÑOS),6.894292346,-73.539003336,1988-01-01
228661,66456,MISTRATO,RISARALDA,1998,2,15,249936,MUJER,,ESTUDIANTE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADOLESCENCIA (12-17 AÑOS),5.4162684868,-75.9043263373,1998-02-15
229622,50001,VILLAVICENCIO,META,1993,1,11,250897,HOMBRE,,ESTUDIANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),4.127404,-73.627486,1993-01-11
236057,05660,SAN LUIS,ANTIOQUIA,1998,2,16,257332,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADOLESCENCIA (12-17 AÑOS),6.063828223,-74.806913159,1998-02-16
238584,66594,QUINCHIA,RISARALDA,1998,12,1,762513,MUJER,,GUERRILLERO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),5.3404456801,-75.7304125955,1998-12-01
244955,05837,TURBO,ANTIOQUIA,2000,4,15,266230,HOMBRE,INDÍGENA,ESTUDIANTE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADOLESCENCIA (12-17 AÑOS),8.173851745,-76.574037701,2000-04-15
244955,05837,TURBO,ANTIOQUIA,2000,4,15,568819,HOMBRE,INDÍGENA,ESTUDIANTE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADOLESCENCIA (12-17 AÑOS),8.173851745,-76.574037701,2000-04-15
253262,17541,PENSILVANIA,CALDAS,2001,9,10,274537,MUJER,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),5.407187836,-75.166839962,2001-09-10
253262,17541,PENSILVANIA,CALDAS,2001,9,10,579797,HOMBRE,,ESTUDIANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),5.407187836,-75.166839962,2001-09-10
259141,23001,MONTERIA,CORDOBA,2002,6,12,280416,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),8.74513,-75.875576,2002-06-12
272040,05055,ARGELIA,ANTIOQUIA,2004,7,17,293315,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRANSPORTE DE MERCADO Y DINERO,ADOLESCENCIA (12-17 AÑOS),5.708114524,-75.094697954,2004-07-17
272684,05091,BETANIA,ANTIOQUIA,2004,9,0,762694,HOMBRE,,PARAMILITAR,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADOLESCENCIA (12-17 AÑOS),5.727081285,-75.986891074,2004-09-01
